City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
54,Belmonte,BR,-15.8631,-38.8828,82.4,70,81,7.2,broken clouds
55,Nisia Floresta,BR,-6.0911,-35.2086,90.41,52,69,14.03,broken clouds
56,Tasiilaq,GL,65.6145,-37.6368,26.76,64,18,6.85,few clouds
57,Bagan,RU,54.1001,77.6646,28.56,36,99,8.66,overcast clouds
58,New Norfolk,AU,-42.7826,147.0587,50.92,60,71,5.01,broken clouds
59,Buchanan,LR,5.8808,-10.0467,82.36,79,90,7.94,light rain
60,Port Alfred,ZA,-33.5906,26.891,67.19,80,2,15.46,clear sky
61,Bonavista,CA,48.6499,-53.1147,51.12,68,16,9.46,few clouds
62,Tarnogskiy Gorodok,RU,60.4997,43.5761,44.26,89,100,7.25,overcast clouds
63,Nandu,CN,22.8525,110.8233,66.04,97,100,2.77,overcast clouds
64,Hervey Bay,AU,-25.2986,152.8535,77.04,86,67,9.04,broken clouds
65,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,90,9.22,overcast clouds
66,Srednekolymsk,RU,67.45,153.6833,-7.02,99,100,3.69,overcast clouds
67,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,20.71,broken clouds
68,Sitka,US,57.0531,-135.33,44.49,70,75,9.22,broken clouds
69,Mizque,BO,-17.941,-65.3402,80.58,38,19,10.94,few clouds
70,San Jeronimo,PE,-11.9472,-75.2829,62.98,40,22,2.15,few clouds
71,Hobart,AU,-42.8794,147.3294,51.26,68,40,5.01,scattered clouds
72,Alvaraes,BR,-3.2208,-64.8042,89.47,58,51,4.05,broken clouds
73,East London,ZA,-33.0153,27.9116,67.14,77,20,16.11,few clouds
74,Jamestown,US,42.097,-79.2353,50.02,96,90,3.0,overcast clouds
75,College,US,64.8569,-147.8028,27.66,85,90,0.0,overcast clouds
76,Ilulissat,GL,69.2167,-51.1,33.82,60,75,9.22,light shower snow
77,Barrow,US,71.2906,-156.7887,14.02,79,90,4.61,overcast clouds
78,Sur,OM,22.5667,59.5289,81.63,61,24,11.23,few clouds
79,Hermanus,ZA,-34.4187,19.2345,72.81,74,45,11.7,scattered clouds
80,Chicama,PE,-7.8447,-79.1469,59.54,60,69,8.16,broken clouds
81,Hof,DE,50.3167,11.9167,49.39,71,0,11.5,clear sky
82,Castro,BR,-24.7911,-50.0119,74.14,62,57,6.62,broken clouds
83,Narsaq,GL,60.9167,-46.05,32.22,68,58,4.07,broken clouds
84,West Helena,US,34.5507,-90.6418,55.94,64,16,11.97,few clouds
85,Mayumba,GA,-3.432,10.6554,78.78,85,96,10.51,light rain
86,Evensk,RU,61.95,159.2333,9.61,73,49,9.53,scattered clouds
87,Kirakira,SB,-10.4544,161.9205,81.19,77,99,11.32,overcast clouds
88,Lebu,CL,-37.6167,-73.65,55.02,69,88,19.95,overcast clouds
89,Goderich,CA,43.7501,-81.7165,49.91,81,100,9.22,overcast clouds
90,Athabasca,CA,54.7169,-113.2854,24.62,49,74,10.36,broken clouds
91,Ponta Do Sol,PT,32.6667,-17.1,81.01,70,90,9.31,overcast clouds
92,Malindi,KE,-3.2175,40.1191,82.56,69,20,11.5,few clouds
93,Luderitz,NA,-26.6481,15.1594,67.78,64,1,11.01,clear sky
94,Westport,US,41.1415,-73.3579,64.36,96,90,1.99,moderate rain
95,San Vicente,AR,-26.6167,-54.1333,79.63,61,100,4.36,light rain
96,Tocopilla,CL,-22.092,-70.1979,71.29,58,11,7.31,few clouds
97,Avarua,CK,-21.2078,-159.775,71.65,73,20,9.22,few clouds
98,Souillac,MU,-20.5167,57.5167,75.58,73,40,5.75,scattered clouds
99,Bathsheba,BB,13.2167,-59.5167,86.61,62,40,16.11,scattered clouds
100,Karratha,AU,-20.7377,116.8463,73.42,65,0,8.21,clear sky
101,Beira,MZ,-19.8436,34.8389,78.89,57,20,14.97,few clouds
102,Roma,US,43.2128,-75.4557,54.66,84,90,19.57,overcast clouds
103,Kamenka,RU,51.3223,42.7678,44.29,69,7,6.62,clear sky
104,Chokurdakh,RU,70.6333,147.9167,-7.29,96,99,6.58,overcast clouds
105,Dharangaon,IN,21.0167,75.2667,72.18,47,100,5.93,overcast clouds
106,Kulhudhuffushi,MV,6.6221,73.07,80.49,80,100,6.67,overcast clouds
107,Koutiala,ML,12.3917,-5.4642,90.93,38,93,1.68,overcast clouds
108,Rudnyy,KZ,52.9594,63.1206,37.63,77,100,20.2,overcast clouds
109,Necochea,AR,-38.5473,-58.7368,61.03,65,65,21.72,broken clouds
110,Yerbogachen,RU,61.2767,108.0108,32.05,96,100,11.23,overcast clouds
111,Taoudenni,ML,22.6783,-3.9836,95.11,18,65,4.27,broken clouds
112,Santa Rosalia,MX,27.3167,-112.2833,78.33,30,0,2.04,clear sky
113,Sola,VU,-13.8833,167.55,81.27,74,40,0.0,scattered clouds
114,Dikson,RU,73.5069,80.5464,8.51,91,100,17.36,overcast clouds
115,Am Timan,TD,11.0297,20.2827,87.73,26,65,4.05,broken clouds
116,Halifax,CA,44.6453,-63.5724,52.21,82,40,1.99,scattered clouds
117,Pevek,RU,69.7008,170.3133,1.36,94,100,6.8,overcast clouds
118,Alofi,NU,-19.0595,-169.9187,73.29,78,100,4.61,overcast clouds
119,Leningradskiy,RU,69.3833,178.4167,-6.92,97,100,6.02,overcast clouds
120,Shelburne,CA,44.0787,-80.2041,44.76,100,100,10.2,overcast clouds
121,Arlit,NE,18.7369,7.3853,97.97,8,20,9.69,few clouds
122,El Tambo,CO,1.4181,-77.3968,63.95,69,82,5.55,light rain
123,Henties Bay,NA,-22.116,14.2845,61.86,78,8,9.33,clear sky
124,Fortuna,US,40.5982,-124.1573,58.35,76,90,0.0,overcast clouds
125,Partyzany,UA,46.3314,34.7503,49.55,73,0,14.29,clear sky
126,Bawal,IN,28.0833,76.5833,78.82,33,0,4.61,clear sky
127,Nishihara,JP,26.1842,127.7558,72.68,73,20,10.36,few clouds
128,Longyearbyen,SJ,78.2186,15.6401,21.04,79,20,3.44,few clouds
129,Kahului,US,20.8947,-156.47,72.84,82,1,6.91,clear sky
130,Upernavik,GL,72.7868,-56.1549,24.53,56,100,6.29,overcast clouds
131,Nikolskoye,RU,59.7035,30.7861,46.87,91,72,6.87,broken clouds
132,Eureka,US,40.8021,-124.1637,59.67,95,79,3.15,broken clouds
